id,name,desc,url,img_url,domain
634c09d04947300011ce6a7f,6Estates,"6Estates is a Document AI solution provider, specializing in Multilingual Natural Language Processing (NLP) & Machine Reading Comprehension (MRC) technologies to help customers process unstructured documents to digitalise manual processes.",https://www.6estates.com,/images/634c09d04947300011ce6a7f/Question 4 - 6Estates_logo_Tagline_Large300dpi.jpg,sde
62fb61040405b70012eebff0,ABM Respiratory Care,"ABM is a respiratory technology startup that aims to deliver novel therapeutic solutions and target a large chronic respiratory disease patient population in both hospital and home care environments, who are currently underserved.",https://www.abmrc.com,/images/62fb61040405b70012eebff0/Question 4 - ABM_h_tm_full_color_rgb_1200px@72ppi.jpg,hbms
62fb585d3e0e3700127346b7,Ackcio,"Ackcio builds reliable wireless data acquisition systems for industrial monitoring applications. Ackcio's products and solutions are heralded for their seamless connectivity in above and underground environments and in many industries, including construction, infrastructure, mining, and rail.",https://www.ackcio.com/,/images/62fb585d3e0e3700127346b7/Question 4 - Ackcio-Logo-Vertical-RGB.png,ame
62fb2ecdf87eed0012f6e9c5,Acktec Technologies,ACKTEC is a global education technology company focused on innovation for immersive learning. It targets to deliver personalized and adaptive learning experience for its users. A wide multitude of courses are provided on ACKTEC’s online learning platform for learners.,https://www.acktechnologies.com,/images/62fb2ecdf87eed0012f6e9c5/Question 4 - LOGO.JPG,sde
631edbe28b545c001271665d,Adatos ,"Adatos develops and deploys autonomous artificial intelligence tools to analyze and draw insights from remotely sensed data. This enables the company to measure and analyze agriculture and ecosystems, and account for crop conditions yield prediction, crop price prediction and carbon credit.",https://www.adatos.ai,/images/631edbe28b545c001271665d/Question 4 - ADATOS-AI_logo.png,sde
634dbbf9fea62b0012e3ee86,Aevice Health,"Aevice Health develops a connected device platform, the AeviceMD, powered by its proprietary smart wearable stethoscope that helps providers to manage patients with asthma & COPD at home and reduce the risk of hospital admissions.",www.aevice.com,/images/634dbbf9fea62b0012e3ee86/Question 4 - 1. Aevice Primary Logo Full Colour.png,hbms
62fe0df40386aa00123317ad,AIDA Technologies,"AIDA is an award-winning specialist AI/ML company providing solutions to health insurance companies in the areas of productivity improvements (automation), fraud detection and revenue enhancements (upsell and cross selling).",https://www.aidatech.io,/images/62fe0df40386aa00123317ad/Question 4 - AIDA_Logo HighRes copy.png,sde
634609fec2ae6d0012d7112e,AIM Biotech ,"From the most demanding basic research, to predictive screens for drug discovery, to the tailored selection of precision medicines, AIM Biotech's sophisticated microfluidic systems and human tissue models enable and accelerate the development of cutting-edge therapeutics.",https://www.aimbiotech.com/,/images/634609fec2ae6d0012d7112e/Question 4 - aim logo text (web DPI).jpg,hbms
634ce45145718800123923a0,Aktivolabs,"Aktivolabs helps life and health insurers, reinsurers, financial institutions and corporations to understand their clients’ health in real-time and drive meaningful engagement at scale with customers about health and longevity.",https://www.aktivolabs.com/,/images/634ce45145718800123923a0/Question 4 - Aktivolabs-black-2000x568 (1).png,hbms
634cff685ac4f40012e614b1,Alchemy Foodtech,"Alchemy Foodtech is a Singapore-based food innovation company with a mission to “Make Carbs Good” so people can enjoy food & health. Their patented Alchemy Fibre technology helps with Carb & Sugar Control by lowering glycemic index and sugar levels in carb staples, desserts and dairy with great taste.",https://alchemyfoodtech.com/,/images/634cff685ac4f40012e614b1/Question 4 - ALCHEMY LOGO - MAKES CARBS GOOD TAGLINE REGTANGULAR.png,agri
6345164345da1000126e6099,Alterpacks,"Alterpacks upcycles food disposed by manufacturers to replace plastic food containers.  Their proprietary tech uses spent grains, made of malt and cereals after milo or beer has been processed to create bio-pellets and bio-sheet products for sustainable packaging solutions that are home compostable.",https://alterpacks.com/,/images/6345164345da1000126e6099/Question 4 - alterpacks-300x300px 2.jpg,uss
62fa52e30c7e1a00121fcb98,AMILI,"AMILI is a precision gut microbiome company based in Singapore serving the region. It develops diagnostics tests, predictive algorithms, microbiome-modifying interventions, and also houses Southeast Asia's first and only gut microbiome bank for clinical use and research.",https://www.amili.asia/,/images/62fa52e30c7e1a00121fcb98/Question 4 - Amili-icon logo-300x200px.jpg,hbms
62fa5aa6749fb900129a0b8c,Ampotech,"Ampotech develops AIoT solutions to help businesses collect, analyse, and integrate building and machine electricity usage data for reporting, automation, and facilities management. Ampotech is recognized and trusted by leaders as a leading climate tech company in SEA.",https://www.ampotech.com,/images/62fa5aa6749fb900129a0b8c/Question 4 - Ampotech Logo 16-9.jpg,uss
6320543bab174b0012021ae6,Aqualita Ecotechnology ,Aqualita is on a mission to optimise solutions for urban aquaculture production through best-in-class differentiators and integrated risk management. Their modular and versatile innovations are supported by its patented recirculating aquaculture system technology and facilitate higher efficiency and better outcomes.,https://aqualitaeco.com/,/images/6320543bab174b0012021ae6/Question 4 - Aqualita New Logo.png,agri
62ffe8bcf87eed0012395592,Arcstone,"Arcstone is a leading manufacturing software company with a mission to provide complete manufacturing transparency across the entire supply chain. Arcstone aims to simplify Industry 4.0 and enable a more responsive, responsible, and sustainable manufacturing ecosystem for everyone.",https://www.arcstone.co,/images/62ffe8bcf87eed0012395592/Question 4 - Arcstone_Data Makes It Better_Original Color-06.png,ame
62fafe180405b70012e37b33,Articares,"Articares designs, develops and markets clinically-backed robotics and AI solutions for exercise and rehabilitation of ageing population. It combines premium business offering for providing comprehensive support throughout the hospital to home journey.",https://www.articares.com,/images/62fafe180405b70012e37b33/Question 4 - ARTICARES Logo_png.png,hbms
62fb8abc93b68900129e7edb,Attonics Systems,"Founded in 2015, Attonics Systems was founded with the mission to bridge the gap between high-end, lab-based spectroscopy and the growing demands across various industries, for intuitive, mobile and affordable sensing solutions.",https://www.attonics-systems.com,/images/62fb8abc93b68900129e7edb/Question 4 - logo_attonics-black.png,ame
6307455a0386aa00129e8a5f,Avanseus Holdings,"Avanseus is a technology and software innovator in enterprise solutions driven by analytics, artificial intelligence, machine learning and cognitive computing for large-scale technology infrastructure management.",https://www.avanseus.com,/images/6307455a0386aa00129e8a5f/Question 4 - avanseus_logo-01.png,sde
62fdad2893b6890012b90b8b,AWAK Technologies,"AWAK is a patient-centric medical technology company that develops automated, lightweight, and portable (wearable) dialysis systems to enhance the lives of people with kidney disease and their caregivers. It provides solutions to deliver better outcomes along with improving their quality of life.",https://www.awak.com,/images/62fdad2893b6890012b90b8b/Question 4 - AWAK LOGO_with tagline.png,hbms
62faf22b88544f0012280742,Azendian Solutions,"Azendian Solutions is an AI, Data Science, and Operations Technology company.  It champions software applications for enterprise as a way to enhance productivity and sustainability. Azendian contributes to smart city solutions, with a current focus on Education Technology and the Built Environment.",https://azendian.com/,/images/62faf22b88544f0012280742/Question 4 - Azendian Artwork C.png,uss
62fb315a2849920013813952,BeeX,"BeeX is building the world's most advanced Hovering Autonomous Underwater Vehicles, leveraging on a decade of R&D in underwater self-driving. Its technology takes people out of dangerous environments, slashes carbon footprint, and ultimately protects the rapidly growing marine infrastructure.",https://www.beex.sg,/images/62fb315a2849920013813952/Question 4 - beex_logo_full.png,ame
63044d3e2c1e910013524e58,BeMyGuest,"BeMyGuest is a provider of travel activities and experiences. It offers operators of all sizes a distribution platform and a booking system that facilitate the digital sale of their activities, tours, attraction tickets, transfers, events and other services.",https://bemyguest.com.sg/,/images/63044d3e2c1e910013524e58/Question 4 - BMG Logo 1280x720.png,sde
62fb095d0386aa0012022442,Biolidics Limited,Biolidics (Ticker: 8YY) is a medtech company that focuses on developing a portfolio of innovative diagnostic solutions to lower healthcare costs and improve clinical outomes.,https://www.biolidics.com/,/images/62fb095d0386aa0012022442/Question 4 - Capture.PNG,hbms
62fb0870f87eed0012f32f1d,Biomax Green,Biomax's technology works by combining BM1 enzymes which operate under thermophilic conditions and a specially designed digestor to convert organic waste into organic fertiliser/other useful end products. ,https://www.biomaxgreen.com,/images/62fb0870f87eed0012f32f1d/Question 4 - Biomax.png,uss
6315cbb38b545c0012133e2e,Biorithm,"Biorithm is a global women's health start up that aims to enhance quality and access to care for women. Through FeMoM, designed for remote monitoring of maternal and fetal parameters, Biorithm aims to end preventable pregnancy complications and stillbirth.",https://www.bio-rithm.com,/images/6315cbb38b545c0012133e2e/Question 4 - Biorithm logo.png,hbms
